,precision,recall,f1-score,support
BENIGN,0.004987031714717752,0.7793427230046949,0.00991064498795996,639.0
ATTACK,0.0,0.0,0.0,99361.0
accuracy,0.00498,0.00498,0.00498,0.00498
macro avg,0.002493515857358876,0.38967136150234744,0.00495532249397998,100000.0
weighted avg,3.186713265704644e-05,0.00498,6.332902147306415e-05,100000.0
