Model,Alpha,Precision,Recall,F1
Random_Forest,0.0,0.1431633608066902,0.9484,0.24877370616163472
Random_Forest,0.25,0.05547143439520121,0.381,0.0968430684764374
Random_Forest,0.5,0.11386593204775022,0.2728,0.16066906178220156
Random_Forest,0.75,0.2936036100565862,0.8198,0.4323611623859501
Random_Forest,1.0,0.02125515345854329,0.0928,0.03458814759597466
Gradient_Boosting,0.0,0.14793907408644533,0.8858,0.2535348331329784
Gradient_Boosting,0.25,0.0,0.0,0.0
Gradient_Boosting,0.5,0.0,0.0,0.0
Gradient_Boosting,0.75,0.014198782961460446,0.0014,0.0025486983433460767
Gradient_Boosting,1.0,0.015734265734265736,0.0018,0.003230437903804738
Logistic_Regression,0.0,0.24398365370062056,0.6448,0.35401339628856926
Logistic_Regression,0.25,0.28904563120771554,0.8032,0.42510850005292683
Logistic_Regression,0.5,0.30062864840592723,0.8034,0.43753403768652654
Logistic_Regression,0.75,0.30335990464128737,0.8144,0.44205612549530476
Logistic_Regression,1.0,0.3045005980861244,0.8146,0.4432956029603831
Neural_Network,0.0,0.17672682016179217,0.852,0.29273320735268854
Neural_Network,0.25,0.0041652782405864714,0.01,0.005880969183721477
Neural_Network,0.5,0.2294906503809104,0.729,0.3490877747450079
Neural_Network,0.75,0.0406020482052343,0.157,0.06451878030738883
Neural_Network,1.0,0.1330173072028506,0.8362,0.22952349582784365
