Model,Alpha,Precision,Recall,F1
Gradient_Boosting,0.0,0.14793907408644533,0.8858,0.2535348331329784
Logistic_Regression,1.0,0.3045005980861244,0.8146,0.4432956029603831
Neural_Network,0.5,0.2294906503809104,0.729,0.3490877747450079
Random_Forest,0.75,0.2936036100565862,0.8198,0.4323611623859501
