,precision,recall,f1-score,support
BENIGN,0.9081933867486915,0.8136,0.8582982663837868,45000.0
ATTACK,0.13409724372870857,0.2598,0.17689112820861988,5000.0
accuracy,0.75822,0.75822,0.75822,0.75822
macro avg,0.5211453152387,0.5367,0.5175946972962033,50000.0
weighted avg,0.8307837724466932,0.75822,0.7901575525662701,50000.0
