,precision,recall,f1-score,support
BENIGN,0.9149680872966852,0.9875555555555555,0.949877097360265,9000.0
ATTACK,0.6083916083916084,0.174,0.27060653188180406,1000.0
accuracy,0.9062,0.9062,0.9062,0.9062
macro avg,0.7616798478441469,0.5807777777777777,0.6102418146210346,10000.0
weighted avg,0.8843104394061775,0.9062,0.881950040812419,10000.0
