,precision,recall,f1-score,support
BENIGN,0.9641277053688868,0.8958888888888888,0.9287565512872199,9000.0
ATTACK,0.4276114844227245,0.7,0.5309063329541145,1000.0
accuracy,0.8763,0.8763,0.8763,0.8763
macro avg,0.6958695948958057,0.7979444444444443,0.7298314421206672,10000.0
weighted avg,0.9104760832742707,0.8763,0.8889715294539093,10000.0
