,precision,recall,f1-score,support
0,0.9988891357476116,0.9991111111111111,0.9990001110987669,9000.0
1,0.9919839679358717,0.99,0.990990990990991,1000.0
accuracy,0.9982,0.9982,0.9982,0.9982
macro avg,0.9954365518417416,0.9945555555555555,0.9949955510448789,10000.0
weighted avg,0.9981986189664376,0.9982,0.9981991990879893,10000.0
