,precision,recall,f1-score,support
0,0.999666592576128,0.9994444444444445,0.9995555061673519,9000.0
1,0.9950099800399201,0.997,0.996003996003996,1000.0
accuracy,0.9992,0.9992,0.9992,0.9992
macro avg,0.997338286308024,0.9982222222222222,0.997779751085674,10000.0
weighted avg,0.9992009313225073,0.9992,0.9992003551510162,10000.0
