,precision,recall,f1-score,support
0,0.8981192819446991,0.9794888888888889,0.9370409345536104,45000.0
1,0.0,0.0,0.0,5000.0
accuracy,0.88154,0.88154,0.88154,0.88154
macro avg,0.44905964097234957,0.4897444444444444,0.4685204672768052,50000.0
weighted avg,0.8083073537502292,0.88154,0.8433368410982492,50000.0
