,precision,recall,f1-score,support
0,0.8996568263461037,0.9962,0.9454702675341932,45000.0
1,0.0,0.0,0.0,5000.0
accuracy,0.89658,0.89658,0.89658,0.89658
macro avg,0.44982841317305183,0.4981,0.4727351337670966,50000.0
weighted avg,0.8096911437114933,0.89658,0.8509232407807737,50000.0
