,precision,recall,f1-score,support
0,0.8973326209362542,0.9703555555555555,0.9324165616792296,45000.0
1,0.0029895366218236174,0.0008,0.0012622278321236984,5000.0
accuracy,0.8734,0.8734,0.8734,0.8734
macro avg,0.45016107877903894,0.4855777777777778,0.46683939475567665,50000.0
weighted avg,0.807898312504811,0.8734,0.839301128294519,50000.0
