Feature_Index,Mean_Shift
0,3.8330981896214333
1,0.11216102020806687
2,0.1737815210829478
3,0.47190984895956234
4,19.43524
5,0.40391290704778293
6,2.948711678119249
7,48.04316
8,0.5773738097222201
9,0.16508428057254637
10,0.027134205812733958
11,1.8800889484065235
12,3680301.8016340667
13,2.284631792330931
14,118548.7677
15,0.05312
16,0.09571666009758857
17,0.15158397551673825
18,0.04259139706855103
19,1.044593160965855
20,18.96592
21,2.45712783954879
22,0.07621402725600807
23,298.81054367296963
24,0.05312
25,0.00044
26,0.30936
27,11034426.169167478
28,254815.40884620903
29,11244606.42012
30,10801145.96292
