Model,Baseline_Precision,Baseline_Recall,Baseline_F1,Rescaled_Precision,Rescaled_Recall,Rescaled_F1,F1_Improvement
Isolation_Forest,0.2783907760971981,0.8982,0.4250425894378194,0.27846765180678007,0.897,0.42499763100540133,-4.495843241808517e-05
One_Class_SVM,0.1,1.0,0.18181818181818182,0.10232472249009993,0.9974,0.18560768185793775,0.003789500039755922
Local_Outlier_Factor,0.19988242210464433,0.34,0.2517586079229915,0.039290006471295186,0.085,0.053739647215021814,-0.19801896070796968
