Type_of_threshold,Value_of_threshold,Accuracy,Precision,Recall,F1,ROC_AUC
mean_2std,288259250000000.0,0.93922,0.6765712227624707,0.7514,0.7120250165829622,0.8939658022222221
mean_3std,419264340000000.0,0.9573,0.8090614886731392,0.75,0.7784120394395433,0.8939658022222221
mean_4std,550269430000000.0,0.9592,0.8392939018798716,0.7322,0.78209784234138,0.8939658022222221
percentile95,80811680000000.0,0.93164,0.6300559026635975,0.7664,0.6915719184262769,0.8939658022222221
percentile99,843875700000000.0,0.93546,0.8316498316498316,0.4446,0.5794343802945393,0.8939658022222221
