Feature,Wasserstein_Distance
Idle Max,41166671.97347793
Flow IAT Min,39901425.67776
Flow IAT Std,17525355.72027036
Idle Mean,16485857.106970219
Idle Std,9636222.539229944
Idle Min,3208514.5340001914
Packet Length Std,122.23313533058993
Bwd Packet Length Min,28.303760000000008
Fwd Packet Length Min,11.87656000000001
Min Packet Length,11.761519999999997
Flow IAT Max,9.04785510058493
Flow Duration,6.907788426282848
Flow IAT Mean,3.6036360436968478
Bwd Packets/s,2.759723919535966
Bwd Packet Length Max,1.1762248981595393
Max Packet Length,0.7806663302423653
Fwd Packet Length Max,0.5879231547978353
Fwd Packets/s,0.4425390203100752
Fwd Packet Length Mean,0.4316656848131371
Packet Length Mean,0.40619052953728296
Flow Packets/s,0.40213409265485917
Flow Bytes/s,0.3515905072746136
ACK Flag Count,0.25783999999999996
Bwd Packet Length Mean,0.2520246796892304
Total Backward Packets,0.11433324876341668
Bwd Header Length,0.1015900564911131
Total Fwd Packets,0.08190358882219567
Fwd Header Length,0.07449346525847678
RST Flag Count,0.05676000000000003
SYN Flag Count,0.036719999999999975
Fwd PSH Flags,0.036719999999999975
