Model,Selected_K,Calibration_F1_at_Selection,Held_Out_Precision,Held_Out_Recall,Held_Out_F1
Random_Forest,10,0.10965001011531458,0.0650811505704644,0.324,0.1083902047370534
Gradient_Boosting,0,0.1846670397313934,0.10962017891186392,0.598,0.18527698599578635
Logistic_Regression,15,0.16508424345535372,0.096755615281244,0.6048,0.16682297125834392
Neural_Network,8,0.2787183274627883,0.16044260027662519,0.9744,0.27551885992195896
