Configuration,Calibration_F1,HeldOut_Precision,HeldOut_Recall,HeldOut_F1
"Ensemble(weights=(0.2, 0.2, 0.4, 0.2), pct=90)",0.0,0.0,0.0,0.0
"Ensemble(weights=(0.2, 0.2, 0.4, 0.2), pct=95)",0.0,0.0,0.0,0.0
"Ensemble(weights=(0.2, 0.2, 0.2, 0.4), pct=50)",0.2956989247311828,0.19693008349498187,0.934,0.3252768684265515
"Ensemble(weights=(0.2, 0.2, 0.2, 0.4), pct=60)",0.2709677419354839,0.18112763453514497,0.6772,0.2858107537773276
"Ensemble(weights=(0.2, 0.2, 0.2, 0.4), pct=70)",0.01616161616161616,0.015236686390532545,0.0412,0.02224622030237581
"Ensemble(weights=(0.2, 0.2, 0.2, 0.4), pct=80)",0.0,0.0,0.0,0.0
"Ensemble(weights=(0.2, 0.2, 0.2, 0.4), pct=85)",0.0,0.0,0.0,0.0
"Ensemble(weights=(0.2, 0.2, 0.2, 0.4), pct=90)",0.0,0.0,0.0,0.0
"Ensemble(weights=(0.2, 0.2, 0.2, 0.4), pct=95)",0.0,0.0,0.0,0.0
"Ensemble(weights=(0.5, 0.5, 0.0, 0.0), pct=50)",0.31024930747922436,0.20668349142807416,0.95,0.339503966835823
"Ensemble(weights=(0.5, 0.5, 0.0, 0.0), pct=60)",0.27741935483870966,0.18732049781938093,0.7044,0.2959415175195362
"Ensemble(weights=(0.5, 0.5, 0.0, 0.0), pct=70)",0.01616161616161616,0.015012388864596998,0.0412,0.0220061959192394
"Ensemble(weights=(0.5, 0.5, 0.0, 0.0), pct=80)",0.0,0.0,0.0,0.0
"Ensemble(weights=(0.5, 0.5, 0.0, 0.0), pct=85)",0.0,0.0,0.0,0.0
"Ensemble(weights=(0.5, 0.5, 0.0, 0.0), pct=90)",0.0,0.0,0.0,0.0
"Ensemble(weights=(0.5, 0.5, 0.0, 0.0), pct=95)",0.0,0.0,0.0,0.0
"Ensemble(weights=(0.0, 0.5, 0.0, 0.5), pct=50)",0.13154362416107382,0.07804255319148937,0.3668,0.1287017543859649
"Ensemble(weights=(0.0, 0.5, 0.0, 0.5), pct=60)",0.0,0.0,0.0,0.0
"Ensemble(weights=(0.0, 0.5, 0.0, 0.5), pct=70)",0.0,0.0,0.0,0.0
"Ensemble(weights=(0.0, 0.5, 0.0, 0.5), pct=80)",0.0,0.0,0.0,0.0
"Ensemble(weights=(0.0, 0.5, 0.0, 0.5), pct=85)",0.0,0.0,0.0,0.0
"Ensemble(weights=(0.0, 0.5, 0.0, 0.5), pct=90)",0.0,0.0,0.0,0.0
"Ensemble(weights=(0.0, 0.5, 0.0, 0.5), pct=95)",0.0,0.0,0.0,0.0
