,precision,recall,f1-score,support
BENIGN,0.8939329656342808,0.9364444444444444,0.9146950293032342,45000.0
ATTACK,0.0,0.0,0.0,5000.0
accuracy,0.8428,0.8428,0.8428,0.8428
macro avg,0.4469664828171404,0.4682222222222222,0.4573475146516171,50000.0
weighted avg,0.8045396690708527,0.8428,0.8232255263729108,50000.0
