,precision,recall,f1-score,support
BENIGN,0.9099012107256926,0.8166666666666667,0.860766609282226,45000.0
ATTACK,0.14160857350952033,0.2722,0.18629799466155636,5000.0
accuracy,0.76222,0.76222,0.76222,0.76222
macro avg,0.5257548921176065,0.5444333333333333,0.5235323019718912,50000.0
weighted avg,0.8330719470040754,0.76222,0.7933197478201591,50000.0
