,precision,recall,f1-score,support
BENIGN,0.8931974296476844,0.8957777777777778,0.8944857428159325,45000.0
ATTACK,0.03696098562628337,0.036,0.0364741641337386,5000.0
accuracy,0.8098,0.8098,0.8098,0.8098
macro avg,0.4650792076369839,0.4658888888888889,0.46547995347483556,50000.0
weighted avg,0.8075737852455442,0.8098,0.8086845849477131,50000.0
