,precision,recall,f1-score,support
0,0.8418133980975511,0.46215555555555554,0.596714726346747,45000.0
1,0.04317058707254398,0.2184,0.07209110414259778,5000.0
accuracy,0.43778,0.43778,0.43778,0.43778
macro avg,0.4424919925850475,0.3402777777777778,0.3344029152446724,50000.0
weighted avg,0.7619491169950503,0.43778,0.5442523641263322,50000.0
