,precision,recall,f1-score,support
0,0.9089471603636843,0.45986666666666665,0.6107397405816991,45000.0
1,0.10747989571475783,0.5854,0.18161511494431173,5000.0
accuracy,0.47242,0.47242,0.47242,0.47242
macro avg,0.508213528039221,0.5226333333333333,0.3961774277630054,50000.0
weighted avg,0.8288004338987917,0.47242,0.5678272780179603,50000.0
