Type_of_threshold,Value_of_threshold,Accuracy,Precision,Recall,F1,ROC_AUC
mean_2std,32990496.0,0.89998,0.0,0.0,0.0,0.6869743533333333
mean_3std,49446948.0,0.89998,0.0,0.0,0.0,0.6869743533333333
mean_4std,65903400.0,0.89998,0.0,0.0,0.0,0.6869743533333333
percentile95,217.14539,0.855,0.0,0.0,0.0,0.6869743533333333
percentile99,217.28433,0.891,0.0,0.0,0.0,0.6869743533333333
