,precision,recall,f1-score,support
BENIGN,0.9579146471214092,0.9003333333333333,0.9282318574947018,9000.0
ATTACK,0.417910447761194,0.644,0.5068870523415978,1000.0
accuracy,0.8747,0.8747,0.8747,0.8747
macro avg,0.6879125474413016,0.7721666666666667,0.7175594549181499,10000.0
weighted avg,0.9039142271853878,0.8747,0.8860973769793914,10000.0
