,precision,recall,f1-score,support
0,0.9577598481252966,0.8968888888888888,0.9263254532935506,9000.0
1,0.40966921119592875,0.644,0.5007776049766719,1000.0
accuracy,0.8716,0.8716,0.8716,0.8716
macro avg,0.6837145296606126,0.7704444444444445,0.7135515291351113,10000.0
weighted avg,0.9029507844323598,0.8716,0.8837706684618628,10000.0
