Fraction,N_Calib,Weight_IF,Weight_OCSVM,Weight_LOF,Weight_AE,Precision,Recall,F1
0.01,250,0.8032992773790709,0.2635577014129981,-0.6463554902499687,-1.426209250077151,0.1955541897152223,0.7636,0.31136845539063773
0.02,500,1.2286428681195625,0.6238332090861083,-1.143512681760984,-2.6819018330473647,0.20813965499431877,0.806,0.33084311632870866
0.05,1250,1.3483532736272563,1.0677607681367627,-1.8101687289996327,-4.337519429581386,0.21689497716894976,0.95,0.35315985130111527
0.1,2500,1.8945355814200087,1.905120073016295,-2.6912392741797495,-6.449306506277783,0.21651146131805157,0.9672,0.353819139596137
