Model,Baseline_Precision,Baseline_Recall,Baseline_F1,Coral_Precision,Coral_Recall,Coral_F1,F1_Improvement
Random_Forest,0.1431633608066902,0.9484,0.24877370616163472,0.02125515345854329,0.0928,0.03458814759597466,-0.21418555856566007
Gradient_Boosting,0.14793907408644533,0.8858,0.2535348331329784,0.015734265734265736,0.0018,0.003230437903804738,-0.2503043952291737
Logistic_Regression,0.24398365370062056,0.6448,0.35401339628856926,0.3045005980861244,0.8146,0.4432956029603831,0.08928220667181386
Neural_Network,0.17672682016179217,0.852,0.29273320735268854,0.1330173072028506,0.8362,0.22952349582784365,-0.06320971152484489
