Configuration,Calibration_F1,HeldOut_Precision,HeldOut_Recall,HeldOut_F1
Isolation_Forest(contamination=0.01),0.6690909090909091,0.551909307875895,0.74,0.6322624743677375
Isolation_Forest(contamination=0.05),0.498812351543943,0.3401732786137711,0.8952,0.493005837647318
Isolation_Forest(contamination=0.1),0.42828282828282827,0.28280798693959563,0.9008,0.43046927267514096
Isolation_Forest(contamination=0.15),0.42147117296222664,0.2781138131094927,0.9012,0.42505424016602206
Isolation_Forest(contamination=0.2),0.4015151515151515,0.2628757865299464,0.9024,0.4071467244179751
Isolation_Forest(contamination=0.25),0.27835051546391754,0.17135569059944483,0.9136,0.28858424410891403
Isolation_Forest(contamination=0.3),0.25806451612903225,0.15625854058485925,0.9148,0.2669234360410831
Isolation_Forest(contamination=0.35),0.23814773980154355,0.14478178368121442,0.9156,0.25002730748225016
Isolation_Forest(contamination=0.4),0.22784810126582278,0.1371914689671699,0.916,0.23864110045852438
One_Class_SVM(nu=0.01),0.17518248175182483,0.1,1.0,0.18181818181818182
One_Class_SVM(nu=0.05),0.17518248175182483,0.1,1.0,0.18181818181818182
One_Class_SVM(nu=0.1),0.17518248175182483,0.1,1.0,0.18181818181818182
One_Class_SVM(nu=0.15),0.17518248175182483,0.1,1.0,0.18181818181818182
One_Class_SVM(nu=0.2),0.17518248175182483,0.1,1.0,0.18181818181818182
One_Class_SVM(nu=0.25),0.17518248175182483,0.1,1.0,0.18181818181818182
One_Class_SVM(nu=0.3),0.17518248175182483,0.1,1.0,0.18181818181818182
One_Class_SVM(nu=0.35),0.17518248175182483,0.1,1.0,0.18181818181818182
One_Class_SVM(nu=0.4),0.17518248175182483,0.1,1.0,0.18181818181818182
Local_Outlier_Factor(contamination=0.01),0.2647058823529412,0.20476858345021037,0.3504,0.2584833284154618
Local_Outlier_Factor(contamination=0.05),0.17518248175182483,0.1,1.0,0.18181818181818182
Local_Outlier_Factor(contamination=0.1),0.17518248175182483,0.1,1.0,0.18181818181818182
Local_Outlier_Factor(contamination=0.15),0.17518248175182483,0.1,1.0,0.18181818181818182
Local_Outlier_Factor(contamination=0.2),0.17518248175182483,0.1,1.0,0.18181818181818182
Local_Outlier_Factor(contamination=0.25),0.17518248175182483,0.1,1.0,0.18181818181818182
Local_Outlier_Factor(contamination=0.3),0.17518248175182483,0.1,1.0,0.18181818181818182
Local_Outlier_Factor(contamination=0.35),0.17518248175182483,0.1,1.0,0.18181818181818182
Local_Outlier_Factor(contamination=0.4),0.17518248175182483,0.1,1.0,0.18181818181818182
Autoencoder(threshold=percentile50),0.2723833543505675,0.16561596083957575,0.8932,0.2794218857536132
Autoencoder(threshold=percentile60),0.31516936671575846,0.19757489300998574,0.8864,0.3231262758821814
Autoencoder(threshold=percentile70),0.3752212389380531,0.24063449206884913,0.8556,0.3756256036526473
Autoencoder(threshold=percentile75),0.41338582677165353,0.27259795680848314,0.8432,0.41200039089221147
Autoencoder(threshold=percentile80),0.4519015659955257,0.31329162215779033,0.8212,0.4535513089583563
Autoencoder(threshold=percentile85),0.5166240409207161,0.37045327364297703,0.7944,0.5052792265615061
Autoencoder(threshold=percentile90),0.6006006006006006,0.4682108248640983,0.7924,0.5886198187490714
Autoencoder(threshold=mean_2std),0.736,0.6763754045307443,0.7524,0.7123650823707631
Autoencoder(threshold=mean_3std),0.7711864406779662,0.8137721957557384,0.7516,0.7814514452069037
