Configuration,Calibration_F1,HeldOut_Precision,HeldOut_Recall,HeldOut_F1
Autoencoder(threshold=mean_4std),0.7577092511013216,0.8446691176470589,0.7352,0.786142001710864
Autoencoder(threshold=percentile95),0.6985294117647058,0.6312684365781711,0.7704,0.6939290217978743
Autoencoder(threshold=percentile99),0.5,0.831712789827973,0.4448,0.579619494396664
"Ensemble(weights=(0.25, 0.25, 0.25, 0.25), pct=50)",0.28456375838926173,0.17565257924176508,0.9044,0.2941712204007286
"Ensemble(weights=(0.25, 0.25, 0.25, 0.25), pct=60)",0.3419354838709677,0.22138303089749878,0.9028,0.35557306025994484
"Ensemble(weights=(0.25, 0.25, 0.25, 0.25), pct=70)",0.42828282828282827,0.28077834601471874,0.9004,0.42806884092421793
"Ensemble(weights=(0.25, 0.25, 0.25, 0.25), pct=80)",0.5459459459459459,0.3911144864249098,0.824,0.5304493369383289
"Ensemble(weights=(0.25, 0.25, 0.25, 0.25), pct=85)",0.6038961038961039,0.4650936511797616,0.7648,0.5784298895779761
"Ensemble(weights=(0.25, 0.25, 0.25, 0.25), pct=90)",0.7510204081632653,0.7513015618742491,0.7504,0.7508505103061837
"Ensemble(weights=(0.25, 0.25, 0.25, 0.25), pct=95)",0.5136612021857924,0.8269370021723389,0.4568,0.5885081164648287
"Ensemble(weights=(0.4, 0.2, 0.2, 0.2), pct=50)",0.28456375838926173,0.1748046119322139,0.9036,0.2929391169033262
"Ensemble(weights=(0.4, 0.2, 0.2, 0.2), pct=60)",0.3419354838709677,0.22136055757337783,0.902,0.3554819894380074
"Ensemble(weights=(0.4, 0.2, 0.2, 0.2), pct=70)",0.42828282828282827,0.28204485653426886,0.9004,0.429539166110104
"Ensemble(weights=(0.4, 0.2, 0.2, 0.2), pct=80)",0.5459459459459459,0.3866566996823024,0.8276,0.5270666157177429
"Ensemble(weights=(0.4, 0.2, 0.2, 0.2), pct=85)",0.6103896103896104,0.46368715083798884,0.7636,0.5769986398670092
"Ensemble(weights=(0.4, 0.2, 0.2, 0.2), pct=90)",0.7510204081632653,0.7533199195171026,0.7488,0.7510531594784353
"Ensemble(weights=(0.4, 0.2, 0.2, 0.2), pct=95)",0.5245901639344263,0.8468085106382979,0.4776,0.6107416879795396
"Ensemble(weights=(0.2, 0.4, 0.2, 0.2), pct=50)",0.28456375838926173,0.17566622640043508,0.9044,0.2941903584672435
"Ensemble(weights=(0.2, 0.4, 0.2, 0.2), pct=60)",0.3419354838709677,0.22138303089749878,0.9028,0.35557306025994484
"Ensemble(weights=(0.2, 0.4, 0.2, 0.2), pct=70)",0.42828282828282827,0.28077834601471874,0.9004,0.42806884092421793
"Ensemble(weights=(0.2, 0.4, 0.2, 0.2), pct=80)",0.5459459459459459,0.3911144864249098,0.824,0.5304493369383289
"Ensemble(weights=(0.2, 0.4, 0.2, 0.2), pct=85)",0.6038961038961039,0.4650936511797616,0.7648,0.5784298895779761
"Ensemble(weights=(0.2, 0.4, 0.2, 0.2), pct=90)",0.7510204081632653,0.7513015618742491,0.7504,0.7508505103061837
"Ensemble(weights=(0.2, 0.4, 0.2, 0.2), pct=95)",0.5136612021857924,0.8269370021723389,0.4568,0.5885081164648287
"Ensemble(weights=(0.2, 0.2, 0.4, 0.2), pct=50)",0.28456375838926173,0.17524016114037805,0.9048,0.29361370716510904
"Ensemble(weights=(0.2, 0.2, 0.4, 0.2), pct=60)",0.3419354838709677,0.21931785054902342,0.9028,0.3529043858963334
"Ensemble(weights=(0.2, 0.2, 0.4, 0.2), pct=70)",0.42828282828282827,0.2825759477780567,0.9004,0.43015478692910375
"Ensemble(weights=(0.2, 0.2, 0.4, 0.2), pct=80)",0.5405405405405406,0.3882063882063882,0.8216,0.5272750609677833
"Ensemble(weights=(0.2, 0.2, 0.4, 0.2), pct=85)",0.6038961038961039,0.4603900794606309,0.7648,0.5747782955057869
"Ensemble(weights=(0.2, 0.2, 0.4, 0.2), pct=90)",0.7510204081632653,0.7382920110192838,0.7504,0.7442967665145804
"Ensemble(weights=(0.2, 0.2, 0.4, 0.2), pct=95)",0.5027322404371585,0.8100719424460432,0.4504,0.5789203084832905
"Ensemble(weights=(0.2, 0.2, 0.2, 0.4), pct=50)",0.28456375838926173,0.17567987567987567,0.9044,0.2942094990240729
"Ensemble(weights=(0.2, 0.2, 0.2, 0.4), pct=60)",0.3419354838709677,0.22136131816398588,0.9028,0.35554505356017646
"Ensemble(weights=(0.2, 0.2, 0.2, 0.4), pct=70)",0.42828282828282827,0.28081337325349304,0.9004,0.42810954735640927
"Ensemble(weights=(0.2, 0.2, 0.2, 0.4), pct=80)",0.5459459459459459,0.39142040038131554,0.8212,0.5301484828921885
"Ensemble(weights=(0.2, 0.2, 0.2, 0.4), pct=85)",0.6233766233766234,0.4816011934361014,0.7748,0.5939895737503833
"Ensemble(weights=(0.2, 0.2, 0.2, 0.4), pct=90)",0.7510204081632653,0.7417061611374408,0.7512,0.746422893481717
"Ensemble(weights=(0.2, 0.2, 0.2, 0.4), pct=95)",0.5245901639344263,0.8222849083215797,0.4664,0.5952016334864727
"Ensemble(weights=(0.5, 0.5, 0.0, 0.0), pct=50)",0.28456375838926173,0.17574295939007312,0.9036,0.29425556858147717
"Ensemble(weights=(0.5, 0.5, 0.0, 0.0), pct=60)",0.34471544715447155,0.2241773536136793,0.902,0.35910502428537305
"Ensemble(weights=(0.5, 0.5, 0.0, 0.0), pct=70)",0.42828282828282827,0.2825241500439092,0.9008,0.43014038773756086
"Ensemble(weights=(0.5, 0.5, 0.0, 0.0), pct=80)",0.5459459459459459,0.3862581244196843,0.832,0.527584020291693
"Ensemble(weights=(0.5, 0.5, 0.0, 0.0), pct=85)",0.6103896103896104,0.47390975548273256,0.752,0.5814133292098346
"Ensemble(weights=(0.5, 0.5, 0.0, 0.0), pct=90)",0.7428571428571429,0.7165109034267912,0.736,0.7261247040252565
"Ensemble(weights=(0.5, 0.5, 0.0, 0.0), pct=95)",0.46994535519125685,0.6735218508997429,0.3144,0.42868830106353967
"Ensemble(weights=(0.0, 0.5, 0.0, 0.5), pct=50)",0.28993288590604027,0.17312037397740554,0.8888,0.28979458754483206
"Ensemble(weights=(0.0, 0.5, 0.0, 0.5), pct=60)",0.34516129032258064,0.21959906380380584,0.8632,0.35012574024499066
"Ensemble(weights=(0.0, 0.5, 0.0, 0.5), pct=70)",0.42424242424242425,0.27839408346539884,0.8432,0.4185861795075457
"Ensemble(weights=(0.0, 0.5, 0.0, 0.5), pct=80)",0.5405405405405406,0.36814814814814817,0.7952,0.5032911392405063
"Ensemble(weights=(0.0, 0.5, 0.0, 0.5), pct=85)",0.6493506493506493,0.5153485952133194,0.7924,0.6245271122320303
"Ensemble(weights=(0.0, 0.5, 0.0, 0.5), pct=90)",0.7510204081632653,0.7309486780715396,0.752,0.7413249211356467
"Ensemble(weights=(0.0, 0.5, 0.0, 0.5), pct=95)",0.5355191256830601,0.8327272727272728,0.458,0.5909677419354838
