Model,Target_Fraction,Target_Samples_Used,Precision,Recall,F1
Gradient_Boosting,0.1,2500,0.9972011195521792,0.9976,0.9974005198960207
Logistic_Regression,0.1,2500,0.5700846660395108,0.2424,0.3401627841706427
Neural_Network,0.05,1250,0.8726431874777659,0.9812,0.9237431745434005
Random_Forest,0.1,2500,0.9936204146730463,0.9968,0.9952076677316294
