Model,Target_Fraction,Target_Samples_Used,Precision,Recall,F1
Random_Forest,0.0,0,0.04253649348610893,0.2168,0.07111927568560557
Random_Forest,0.01,250,0.9018939393939394,0.9524,0.9264591439688716
Random_Forest,0.02,500,0.9493720565149136,0.9676,0.9583993660855784
Random_Forest,0.05,1250,0.9857594936708861,0.9968,0.9912490055688147
Random_Forest,0.1,2500,0.9936204146730463,0.9968,0.9952076677316294
Gradient_Boosting,0.0,0,0.10962017891186392,0.598,0.18527698599578635
Gradient_Boosting,0.01,250,0.9751103974307507,0.9716,0.9733520336605891
Gradient_Boosting,0.02,500,0.9800955414012739,0.9848,0.9824421388667198
Gradient_Boosting,0.05,1250,0.9869358669833729,0.9972,0.9920413847990449
Gradient_Boosting,0.1,2500,0.9972011195521792,0.9976,0.9974005198960207
Logistic_Regression,0.0,0,0.00019774569903104609,0.0004,0.00026465528648934763
Logistic_Regression,0.01,250,0.0008764241893076249,0.0004,0.0005492996429552321
Logistic_Regression,0.02,500,0.0,0.0,0.0
Logistic_Regression,0.05,1250,0.175422138836773,0.0748,0.10487941671340438
Logistic_Regression,0.1,2500,0.5700846660395108,0.2424,0.3401627841706427
Neural_Network,0.0,0,0.10681818181818181,0.3948,0.16814310051107326
Neural_Network,0.01,250,0.8700036010082823,0.9664,0.9156717832101573
Neural_Network,0.02,500,0.8776806989674345,0.884,0.8808290155440415
Neural_Network,0.05,1250,0.8726431874777659,0.9812,0.9237431745434005
Neural_Network,0.1,2500,0.9081289081289081,0.7552,0.8246341996069011
