Model,Target_Fraction,Target_Samples_Used,Precision,Recall,F1
Random_Forest,0.0,0,0.04253649348610893,0.2168,0.07111927568560557
Random_Forest,0.001,25,0.44229390681003583,0.7404,0.5537771129394166
Random_Forest,0.002,50,0.5420307321482374,0.7196,0.6183192988485994
Random_Forest,0.005,125,0.6816479400749064,0.9464,0.7924970691676436
Random_Forest,0.01,250,0.9018939393939394,0.9524,0.9264591439688716
Random_Forest,0.02,500,0.9493720565149136,0.9676,0.9583993660855784
Random_Forest,0.05,1250,0.9857594936708861,0.9968,0.9912490055688147
Random_Forest,0.1,2500,0.9936204146730463,0.9968,0.9952076677316294
Gradient_Boosting,0.0,0,0.10962017891186392,0.598,0.18527698599578635
Gradient_Boosting,0.001,25,0.23147863510605596,0.6024,0.3344437041972019
Gradient_Boosting,0.002,50,0.5305313243457573,0.5352,0.5328554360812425
Gradient_Boosting,0.005,125,0.8139066174000672,0.9692,0.8847909439474164
Gradient_Boosting,0.01,250,0.9751103974307507,0.9716,0.9733520336605891
Gradient_Boosting,0.02,500,0.9800955414012739,0.9848,0.9824421388667198
Gradient_Boosting,0.05,1250,0.9869358669833729,0.9972,0.9920413847990449
Gradient_Boosting,0.1,2500,0.9972011195521792,0.9976,0.9974005198960207
