Fraction,N_Calib,Weight_IF,Weight_OCSVM,Weight_LOF,Weight_AE,Threshold_Percentile,Precision,Recall,F1
0.01,250,0.25,0.25,0.25,0.25,90,0.8210065645514223,0.7504,0.7841170323928944
0.02,500,0.25,0.25,0.25,0.25,90,0.6909492273730684,0.7512,0.7198160214641626
0.05,1250,0.25,0.25,0.25,0.25,90,0.7513015618742491,0.7504,0.7508505103061837
0.1,2500,0.25,0.25,0.25,0.25,90,0.7371316306483301,0.7504,0.7437066402378593
