,precision,recall,f1-score,support
BENIGN,0.909226354706986,0.7323111111111111,0.8112352912215056,45000.0
ATTACK,0.12430939226519337,0.342,0.18234165067178504,5000.0
accuracy,0.69328,0.69328,0.69328,0.69328
macro avg,0.5167678734860897,0.5371555555555556,0.49678847094664536,50000.0
weighted avg,0.8307346584628068,0.69328,0.7483459271665337,50000.0
