Model,Features_Removed,Calibration_F1
Random_Forest,0,0.24916352990380594
Random_Forest,3,0.24739943633102743
Random_Forest,5,0.2598187311178248
Random_Forest,8,0.25415901630223114
Random_Forest,10,0.25159736042735936
Random_Forest,15,0.24059627329192546
Gradient_Boosting,0,0.25260283324799454
Gradient_Boosting,3,0.25260283324799454
Gradient_Boosting,5,0.25260283324799454
Gradient_Boosting,8,0.25260283324799454
Gradient_Boosting,10,0.25260283324799454
Gradient_Boosting,15,0.26455955516534974
Logistic_Regression,0,0.3557469360715469
Logistic_Regression,3,0.3557469360715469
Logistic_Regression,5,0.3557469360715469
Logistic_Regression,8,0.3557469360715469
Logistic_Regression,10,0.3557469360715469
Logistic_Regression,15,0.07730986800754243
Neural_Network,0,0.2921966311447233
Neural_Network,3,0.03866614765797327
Neural_Network,5,0.26986774693196713
Neural_Network,8,0.25245473636415233
Neural_Network,10,0.06650528729774494
Neural_Network,15,0.22084356170497657
