Model,Selected_K,Calibration_F1_at_Selection,Held_Out_Precision,Held_Out_Recall,Held_Out_F1
Random_Forest,5,0.2598187311178248,0.14984591679506934,0.9336,0.25824297410931624
Gradient_Boosting,15,0.26455955516534974,0.1543586896168795,0.8896,0.2630707357463922
Logistic_Regression,0,0.3557469360715469,0.2423013369385609,0.6452,0.3522987878126024
Neural_Network,0,0.2921966311447233,0.17703150912106136,0.854,0.2932692307692308
