Model,Baseline_Precision,Baseline_Recall,Baseline_F1,Rescaled_Precision,Rescaled_Recall,Rescaled_F1,F1_Improvement
Isolation_Forest,0.039277462717916406,0.0374,0.03831574633746542,0.03924449108079748,0.0374,0.03830005120327701,-1.569513418841345e-05
One_Class_SVM,0.14062831670558268,0.265,0.1837470531132991,0.12465923172242875,0.1006,0.11134477033757609,-0.07240228277572303
Local_Outlier_Factor,0.16655794737986518,0.766,0.2736202893373817,0.15059393560487652,0.7708,0.2519612970711297,-0.02165899226625201
