Configuration,Calibration_F1,HeldOut_Precision,HeldOut_Recall,HeldOut_F1
Isolation_Forest(c=0.01),0.6052631578947368,0.47227191413237923,0.7392,0.5763293310463122
Isolation_Forest(c=0.05),0.5048076923076923,0.3415788670025958,0.8948,0.4944192728478285
Isolation_Forest(c=0.1),0.4353182751540041,0.28711860079152307,0.8996,0.4353043646569244
Isolation_Forest(c=0.15),0.424,0.2811290121143999,0.9004,0.4284762539259541
Isolation_Forest(c=0.2),0.4038095238095238,0.2657944365865158,0.902,0.4105972323379461
Isolation_Forest(c=0.25),0.34925864909390447,0.21980911569925984,0.9028,0.35354010025062654
Isolation_Forest(c=0.3),0.259927797833935,0.15782566652852603,0.914,0.2691718694781482
One_Class_SVM(nu=0.01),0.2436548223350254,0.14281625643961077,0.998,0.2498748122183275
One_Class_SVM(nu=0.05),0.24217961654894046,0.142473578977435,0.9976,0.2493376655836041
One_Class_SVM(nu=0.1),0.24439918533604887,0.14360629286002422,0.9968,0.25104518208834936
One_Class_SVM(nu=0.15),0.2434077079107505,0.1412791027020903,0.9976,0.24750657470351808
One_Class_SVM(nu=0.2),0.23414634146341465,0.13747521480502314,0.9984,0.24167312161115415
One_Class_SVM(nu=0.25),0.23346303501945526,0.1369321922317314,0.9984,0.24083365495947512
One_Class_SVM(nu=0.3),0.22408963585434175,0.13076681661261638,1.0,0.23128874086409473
Local_Outlier_Factor(c=0.01),0.08480565371024736,0.06502031884964052,0.0832,0.07299526232672399
Local_Outlier_Factor(c=0.05),0.18645418326693228,0.10768551236749116,0.9752,0.1939538583929992
Local_Outlier_Factor(c=0.1),0.17747949291573453,0.10118729715295181,0.9852,0.18352520397898736
Local_Outlier_Factor(c=0.15),0.17804154302670624,0.10182129324043515,0.9996,0.1848167732869874
Local_Outlier_Factor(c=0.2),0.17777777777777778,0.10144045445323595,1.0,0.1841959845275373
Local_Outlier_Factor(c=0.25),0.17751479289940827,0.1013048058999919,1.0,0.18397233056148354
Local_Outlier_Factor(c=0.3),0.17699115044247787,0.10116951964712072,1.0,0.18374921906581898
Autoencoder(t=percentile50),0.26801517067003794,0.16716020136215576,0.9032,0.28210894552723637
Autoencoder(t=percentile60),0.31268436578171094,0.20007110479068527,0.9004,0.32739437131844956
Autoencoder(t=percentile70),0.3723404255319149,0.24844097995545658,0.8924,0.3886759581881533
Autoencoder(t=percentile75),0.4150197628458498,0.28409380576089727,0.8916,0.430891165667891
Autoencoder(t=percentile80),0.4656319290465632,0.32715311004784686,0.8752,0.4762734000870701
Autoencoder(t=percentile85),0.5279187817258884,0.39013371882905673,0.8636,0.5374657704754792
Autoencoder(t=percentile90),0.6006006006006006,0.47478991596638653,0.8136,0.5996462264150944
Autoencoder(t=mean_2std),0.03125,0.0,0.0,0.0
Autoencoder(t=mean_3std),0.0,0.0,0.0,0.0
Autoencoder(t=percentile95),0.6641509433962264,0.6048472075869337,0.6888,0.6440994950439499
