,precision,recall,f1-score,support
BENIGN,0.8961599966771199,0.9589111111111112,0.9264742192783759,45000.0
ATTACK,0.0,0.0,0.0,5000.0
accuracy,0.86302,0.86302,0.86302,0.86302
macro avg,0.44807999833855994,0.4794555555555556,0.46323710963918796,50000.0
weighted avg,0.8065439970094079,0.86302,0.8338267973505384,50000.0
