,precision,recall,f1-score,support
BENIGN,0.8646371601887216,0.6841777777777778,0.7638944025406907,45000.0
ATTACK,0.012506948304613675,0.036,0.018564356435643563,5000.0
accuracy,0.61936,0.61936,0.61936,0.61936
macro avg,0.4385720542466676,0.3600888888888889,0.39122937948816716,50000.0
weighted avg,0.7794241390003108,0.61936,0.689361397930186,50000.0
