,precision,recall,f1-score,support
BENIGN,0.0,0.0,0.0,45000.0
ATTACK,0.1,1.0,0.18181818181818182,5000.0
accuracy,0.1,0.1,0.1,0.1
macro avg,0.05,0.5,0.09090909090909091,50000.0
weighted avg,0.01,0.1,0.01818181818181818,50000.0
