Model,Baseline_Precision,Baseline_Recall,Baseline_F1,Rescaled_Precision,Rescaled_Recall,Rescaled_F1,F1_Improvement,Direction
Isolation_Forest,0.039277462717916406,0.0374,0.03831574633746542,0.03924449108079748,0.0374,0.03830005120327701,-1.569513418841345e-05,2017_to_2018
One_Class_SVM,0.14062831670558268,0.265,0.1837470531132991,0.12465923172242875,0.1006,0.11134477033757609,-0.07240228277572303,2017_to_2018
Local_Outlier_Factor,0.16655794737986518,0.766,0.2736202893373817,0.15059393560487652,0.7708,0.2519612970711297,-0.02165899226625201,2017_to_2018
Isolation_Forest,0.2783907760971981,0.8982,0.4250425894378194,0.27846765180678007,0.897,0.42499763100540133,-4.495843241808517e-05,unsw_to_2017
One_Class_SVM,0.1,1.0,0.18181818181818182,0.10232472249009993,0.9974,0.18560768185793775,0.003789500039755922,unsw_to_2017
Local_Outlier_Factor,0.19988242210464433,0.34,0.2517586079229915,0.039290006471295186,0.085,0.053739647215021814,-0.19801896070796968,unsw_to_2017
Isolation_Forest,0.02439671174754707,0.0736,0.03664608643696475,0.024395094464700035,0.0736,0.036644261886980334,-1.8245499844166124e-06,unsw_to_2018
One_Class_SVM,0.1,1.0,0.18181818181818182,0.05146470512324171,0.3988,0.09116470453766144,-0.09065347728052038,unsw_to_2018
Local_Outlier_Factor,0.23488517419153257,0.6014,0.33782721042579483,0.2552891396332863,0.0362,0.06340865300402873,-0.27441855742176613,unsw_to_2018
