Model,Baseline_Precision,Baseline_Recall,Baseline_F1,Rescaled_Precision,Rescaled_Recall,Rescaled_F1,F1_Improvement
Isolation_Forest,0.02439671174754707,0.0736,0.03664608643696475,0.024395094464700035,0.0736,0.036644261886980334,-1.8245499844166124e-06
One_Class_SVM,0.1,1.0,0.18181818181818182,0.05146470512324171,0.3988,0.09116470453766144,-0.09065347728052038
Local_Outlier_Factor,0.23488517419153257,0.6014,0.33782721042579483,0.2552891396332863,0.0362,0.06340865300402873,-0.27441855742176613
