Model,Fraction,N_Calib,Best_Config,Precision,Recall,F1
Isolation_Forest,0.01,250,0.25,0.19015370567645715,0.9996,0.31952435749904107
One_Class_SVM,0.01,250,0.01,0.1,1.0,0.18181818181818182
Local_Outlier_Factor,0.01,250,0.01,0.2356897091022834,0.6028,0.3388801439172476
Autoencoder,0.01,250,percentile50,0.10792165569740703,0.5444,0.1801336774535107
Isolation_Forest,0.02,500,0.25,0.19015370567645715,0.9996,0.31952435749904107
One_Class_SVM,0.02,500,0.01,0.1,1.0,0.18181818181818182
Local_Outlier_Factor,0.02,500,0.01,0.2356897091022834,0.6028,0.3388801439172476
Autoencoder,0.02,500,percentile50,0.10792165569740703,0.5444,0.1801336774535107
Isolation_Forest,0.05,1250,0.2,0.1899092970521542,0.804,0.30724549067563434
One_Class_SVM,0.05,1250,0.01,0.1,1.0,0.18181818181818182
Local_Outlier_Factor,0.05,1250,0.01,0.2356897091022834,0.6028,0.3388801439172476
Autoencoder,0.05,1250,percentile50,0.10792165569740703,0.5444,0.1801336774535107
Isolation_Forest,0.1,2500,0.2,0.1899092970521542,0.804,0.30724549067563434
One_Class_SVM,0.1,2500,0.01,0.1,1.0,0.18181818181818182
Local_Outlier_Factor,0.1,2500,0.01,0.2356897091022834,0.6028,0.3388801439172476
Autoencoder,0.1,2500,percentile50,0.10792165569740703,0.5444,0.1801336774535107
