Model,Baseline_Precision,Baseline_Recall,Baseline_F1,Coral_Precision,Coral_Recall,Coral_F1,F1_Improvement
Random_Forest,0.042742126450390716,0.2166,0.07139560946667546,0.10220768601798855,1.0,0.18545994065281898,0.11406433118614352
Gradient_Boosting,0.10947430292788655,0.596,0.18497253344092363,0.09422492401215805,0.6014,0.16292363124102618,-0.02204890219989744
Logistic_Regression,9.968102073365231e-05,0.0002,0.00013304949441192123,0.0,0.0,0.0,-0.00013304949441192123
Neural_Network,0.10681867300626756,0.3954,0.16819806023481368,0.051143908639071214,0.2696,0.08597761265427177,-0.08222044758054191
