Configuration,Calibration_F1,HeldOut_Precision,HeldOut_Recall,HeldOut_F1
"Ensemble(weights=(0.2, 0.2, 0.4, 0.2), pct=50)",0.3221476510067114,0.20615918097754293,0.9988,0.3417738844785108
"Ensemble(weights=(0.2, 0.2, 0.4, 0.2), pct=60)",0.3774193548387097,0.2514853513624257,0.982,0.4004240743761214
"Ensemble(weights=(0.2, 0.2, 0.4, 0.2), pct=70)",0.27474747474747474,0.20202020202020202,0.576,0.29912754466140423
"Ensemble(weights=(0.2, 0.2, 0.4, 0.2), pct=80)",0.11891891891891893,0.10691557064064489,0.2016,0.13972830607152759
"Ensemble(weights=(0.2, 0.2, 0.4, 0.2), pct=85)",0.07142857142857142,0.08486439195100612,0.1164,0.0981615786810592
"Ensemble(weights=(0.2, 0.2, 0.4, 0.2), pct=90)",0.0,0.0,0.0,0.0
"Ensemble(weights=(0.2, 0.2, 0.4, 0.2), pct=95)",0.0,0.0,0.0,0.0
"Ensemble(weights=(0.2, 0.2, 0.2, 0.4), pct=50)",0.3221476510067114,0.20600610510683937,0.9988,0.3415635045482525
"Ensemble(weights=(0.2, 0.2, 0.2, 0.4), pct=60)",0.3774193548387097,0.25156266010861766,0.982,0.4005220654213231
"Ensemble(weights=(0.2, 0.2, 0.2, 0.4), pct=70)",0.27474747474747474,0.20204854777606285,0.576,0.2991586163913992
"Ensemble(weights=(0.2, 0.2, 0.2, 0.4), pct=80)",0.11891891891891893,0.10698365527488855,0.2016,0.1397864373873249
"Ensemble(weights=(0.2, 0.2, 0.2, 0.4), pct=85)",0.07142857142857142,0.08491391887948643,0.1164,0.0981947022102244
"Ensemble(weights=(0.2, 0.2, 0.2, 0.4), pct=90)",0.0,0.0,0.0,0.0
"Ensemble(weights=(0.2, 0.2, 0.2, 0.4), pct=95)",0.0,0.0,0.0,0.0
"Ensemble(weights=(0.5, 0.5, 0.0, 0.0), pct=50)",0.3221476510067114,0.2059381443298969,0.9988,0.34147008547008545
"Ensemble(weights=(0.5, 0.5, 0.0, 0.0), pct=60)",0.3774193548387097,0.25140809011776755,0.982,0.4003261312678353
"Ensemble(weights=(0.5, 0.5, 0.0, 0.0), pct=70)",0.27474747474747474,0.20204854777606285,0.576,0.2991586163913992
