Fraction,N_Calib,Weight_IF,Weight_OCSVM,Weight_LOF,Weight_AE,Precision,Recall,F1,Direction
0.01,250,2.6128038891222434,-1.3604284092138677,1.21569123931642,-0.8992669439563269,0.2339968494916225,0.6536,0.3446166824844458,2017_to_2018
0.02,500,3.5196276587204145,-1.6995365233009485,0.19122100363924666,-1.169583073667705,0.21526586620926244,0.6024,0.3171861836562763,2017_to_2018
0.05,1250,4.8992425634980945,-2.219404885582546,1.9228932498925386,-1.4009622063210327,0.23052646679099126,0.6428,0.33935170520536373,2017_to_2018
0.1,2500,6.270232028407955,-1.903513437876764,2.316428645550975,-1.9583580771239268,0.23155472457931828,0.644,0.340632603406326,2017_to_2018
0.01,250,2.8628080940467244,0.188991332049458,0.4637692122708379,3.785572979252288,0.6545391545391546,0.7556,0.7014481990345339,unsw_to_2017
0.02,500,3.1523289565698325,0.18187633487893595,0.8627777952707133,3.8576334282930924,0.6092693916961699,0.7572,0.675227394328518,unsw_to_2017
0.05,1250,2.526129206248157,0.363271663410378,0.44255032292941154,5.048444658092053,0.6225361366622865,0.758,0.6836219336219336,unsw_to_2017
0.1,2500,2.7290019290759058,0.8189940118611758,0.5717821653368708,5.439547657504759,0.611810261374637,0.7584,0.6772637971066262,unsw_to_2017
0.01,250,0.8032992773790709,0.2635577014129981,-0.6463554902499687,-1.426209250077151,0.1955541897152223,0.7636,0.31136845539063773,unsw_to_2018
0.02,500,1.2286428681195625,0.6238332090861083,-1.143512681760984,-2.6819018330473647,0.20813965499431877,0.806,0.33084311632870866,unsw_to_2018
0.05,1250,1.3483532736272563,1.0677607681367627,-1.8101687289996327,-4.337519429581386,0.21689497716894976,0.95,0.35315985130111527,unsw_to_2018
0.1,2500,1.8945355814200087,1.905120073016295,-2.6912392741797495,-6.449306506277783,0.21651146131805157,0.9672,0.353819139596137,unsw_to_2018
