Type_of_threshold,Value_of_threshold,Accuracy,Precision,Recall,F1,ROC_AUC
mean_2std,inf,0.9,0.0,0.0,0.0,0.34193554000000004
mean_3std,inf,0.9,0.0,0.0,0.0,0.34193554000000004
mean_4std,inf,0.9,0.0,0.0,0.0,0.34193554000000004
percentile95,100424800000000.0,0.855,0.0,0.0,0.0,0.34193554000000004
percentile99,411473600000000.0,0.891,0.0,0.0,0.0,0.34193554000000004
